,year,needed-power
0,2012,1238543422.8530612
1,2013,1250325995.0665307
2,2014,1243502803.264898
3,2015,1259987148.5320408
4,2016,1269674283.4779594
5,2017,1315251614.9865305
6,2018,1307936099.524694
7,2019,1285468865.642857
8,2020,1199391262.5589797
9,2021,1200706510.4671428
10,2022,1166123162.9814286
11,2023,1215881636.6902783
12,2024,1210393558.4211411
13,2025,1204905480.152004
14,2026,1199417401.8828664
15,2027,1193929323.6137292
16,2028,1188441245.3445919
17,2029,1182953167.0754545
18,2030,1177465088.806317
19,2031,1171977010.53718
20,2032,1166488932.2680428
21,2033,1161000853.9989054
22,2034,1155512775.729768
23,2035,1150024697.460631
24,2036,1144536619.1914937
25,2037,1139048540.9223564
26,2038,1133560462.6532187
27,2039,1128072384.3840816
28,2040,1122584306.1149445
29,2041,1117096227.845807
30,2042,1111608149.57667
31,2043,1106120071.3075325
32,2044,1100631993.0383952
33,2045,1095143914.7692578
